Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.223233479,0.8732,40.32467532,18.01987277,0.014150997,0.002679969,0.137444979,0.044316114,7.241873185,3.93780977,0.486503163,0.098021663,0.15440105,0.138285489,15.08866705
distributed,0,0,1,0.246588963,0.8425,1,0,0.013121915,0.006364481,0.132756245,0.052404137,nan,nan,nan,nan,nan,nan,15.0254504
distributed,0,0,2,0.233843274,0.8569,1.989583333,0.142103595,0.013707525,0.004717504,0.128541473,0.051767785,nan,nan,nan,nan,nan,nan,15.10009659
distributed,0,0,3,0.229995169,0.862,2.984251969,0.3014298,0.012970043,0.003860185,0.137671535,0.058008168,nan,nan,nan,nan,nan,nan,15.11863011
distributed,0,0,5,0.226652723,0.8658,4.979328165,0.628337906,0.012865703,0.003205004,0.126272977,0.052969642,nan,nan,nan,nan,nan,nan,15.02840322
distributed,0,0,7,0.225743733,0.8694,6.973214286,0.746748375,0.013155795,0.002557346,0.140547555,0.056547577,nan,nan,nan,nan,nan,nan,15.02547662
distributed,0,0,10,0.224208411,0.8708,9.968531469,1.628706852,0.01309541,0.002432395,0.130195288,0.050276275,nan,nan,nan,nan,nan,nan,15.17153545
distributed,0,0,20,0.22338869,0.8727,19.95013123,4.140953996,0.013005792,0.001404946,0.134392534,0.052813416,nan,nan,nan,nan,nan,nan,15.30895004
distributed,0,0,30,0.223170867,0.8732,29.69249395,5.869974386,0.013267587,0.001515507,0.139741281,0.062115208,nan,nan,nan,nan,nan,nan,14.89400661
distributed,0,0,50,0.2227899,0.8745,49.3301179,11.18156966,0.013085188,0.001548289,0.13076387,0.041742574,nan,nan,nan,nan,nan,nan,15.09695709
distributed,0,0,70,0.222779076,0.8738,68.71069182,18.02886574,0.013035402,0.001102934,0.154386005,0.031007409,nan,nan,nan,nan,nan,nan,15.00690452
distributed,0,0,100,0.222728193,0.8743,97.94460641,32.33709171,0.012489898,0.002406735,0.127707465,0.038629695,nan,nan,nan,nan,nan,nan,14.89898368
distributed,0,1,-1,0.227885748,0.8656,7.995850622,2.401733242,0.012294879,0.003118069,0.135950644,0.0384087,15.44950313,2.943106315,1.431496328,0.275878841,0.933025306,0.256665033,15.07514914
distributed,0,1,1,0.245569859,0.8451,1,0,0.012483524,0.006507312,0.129861619,0.051791773,nan,nan,nan,nan,nan,nan,14.94624
distributed,0,1,2,0.234881019,0.8552,1.989130435,0.145061694,0.013867994,0.005183548,0.13492636,0.052522439,nan,nan,nan,nan,nan,nan,15.09165818
distributed,0,1,3,0.231140859,0.8602,2.984063745,0.303155264,0.013116234,0.003916845,0.137938988,0.049193946,nan,nan,nan,nan,nan,nan,15.03360413
distributed,0,1,5,0.228767239,0.8632,4.971671388,0.581179888,0.013157515,0.00267008,0.139811079,0.051169895,nan,nan,nan,nan,nan,nan,14.71840337
distributed,0,1,7,0.227321758,0.8652,6.963114754,0.785960926,0.013038002,0.002721555,0.121546912,0.049709821,nan,nan,nan,nan,nan,nan,14.94047299
distributed,0,1,10,0.229104561,0.8645,9.940754039,1.284421419,0.012935176,0.002931866,0.136022059,0.051231156,nan,nan,nan,nan,nan,nan,15.06427375
distributed,0,1,20,0.22943415,0.8681,19.92753623,3.01148361,0.01289569,0.002546676,0.126749418,0.06334698,nan,nan,nan,nan,nan,nan,14.97592152
distributed,0,1,30,0.231386062,0.866,29.93111639,7.233870948,0.013206704,0.003103987,0.131240932,0.06945888,nan,nan,nan,nan,nan,nan,15.00472671
distributed,0,1,50,0.234786437,0.8651,49.89705882,14.38363267,0.012987238,0.002488488,0.126208999,0.053636605,nan,nan,nan,nan,nan,nan,15.21577642
