Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.258309956,0.927400002,1,0,0.013484905,0.007020556,0.134982891,0.051425726,16.41390754,5.054536308,2.960265255,0.865295259,1.426515281,0.702674064,20.34008796
distributed,0,0,1,0.248406249,0.932200003,1,0,0.01260283,0.006891438,0.131361237,0.054450586,nan,nan,nan,nan,nan,nan,20.01100535
distributed,0,0,2,0.147791146,0.955200004,1.992481203,0.121254305,0.012591541,0.004388351,0.1251117,0.055800611,nan,nan,nan,nan,nan,nan,20.11364857
distributed,0,0,3,0.145100879,0.957100006,2.988700565,0.203423839,0.012713917,0.003766686,0.129636089,0.050992555,nan,nan,nan,nan,nan,nan,19.95168811
distributed,0,0,5,0.102376974,0.969300003,4.984375,0.549340648,0.01287837,0.002995757,0.131936473,0.049461712,nan,nan,nan,nan,nan,nan,20.32242047
distributed,0,0,7,0.109459377,0.967800006,6.980360065,0.889274559,0.013197942,0.003242123,0.134153414,0.055986105,nan,nan,nan,nan,nan,nan,20.02210592
distributed,0,0,10,0.103102486,0.969300007,9.95821727,1.098114182,0.013633421,0.002152708,0.141575721,0.047609799,nan,nan,nan,nan,nan,nan,20.05498715
distributed,0,0,20,0.079458952,0.972900004,19.96130346,3.688047133,0.012916088,0.001990656,0.138280667,0.053645478,nan,nan,nan,nan,nan,nan,19.96796845
distributed,0,1,-1,0.242241766,0.934100003,1,0,0.012879386,0.007245197,0.132138523,0.053143765,14.28176916,3.931953093,4.123619556,1.450035412,1.231375571,0.557617864,20.01247137
distributed,0,2,-1,0.083737388,0.97720001,96.39923372,47.43711388,0.013543505,0.003664353,0.132149659,0.069491694,482203.6999,1988176.788,1.09E-07,2.09E-07,27862.8242,114881.3672,20.31374811
distributed,0,2,1,0.370733043,0.888999999,1,0,0.013454501,0.007103019,0.131578397,0.054517479,nan,nan,nan,nan,nan,nan,20.01453997
distributed,0,2,2,0.270565198,0.921100004,1.992063492,0.12449912,0.012977528,0.004876569,0.132371489,0.051958601,nan,nan,nan,nan,nan,nan,20.08514345
distributed,0,2,3,0.205058099,0.942000002,2.988571429,0.2581618,0.012599459,0.004294022,0.131881714,0.053491877,nan,nan,nan,nan,nan,nan,20.01753719
distributed,0,2,5,0.172393725,0.947700001,4.983739837,0.56,0.013447691,0.00325029,0.133937328,0.047172149,nan,nan,nan,nan,nan,nan,20.07792852
distributed,0,2,7,0.144495141,0.959700003,6.969230769,0.773255375,0.014015942,0.002667867,0.137765774,0.057348701,nan,nan,nan,nan,nan,nan,19.84595768
distributed,0,2,10,0.124443438,0.967800003,9.976377953,1.422557078,0.01325689,0.002257746,0.127624256,0.054758986,nan,nan,nan,nan,nan,nan,20.07455962
distributed,0,2,20,0.101850023,0.971400005,19.93256262,2.609373251,0.012849016,0.001600429,0.128723999,0.054004358,nan,nan,nan,nan,nan,nan,20.08762598
distributed,0,3,-1,0.213527155,0.938500004,1,0,0.013607432,0.007607445,0.127203757,0.058465621,15.675506,4.979989476,3.458791397,1.358129734,1.282441378,0.810338385,19.99518883
distributed,0,3,1,0.258646296,0.927400005,1,0,0.013305408,0.006786248,0.13231019,0.054999751,nan,nan,nan,nan,nan,nan,20.24056812
distributed,0,3,2,0.142744556,0.959300004,1.992481203,0.121254305,0.012683334,0.004675671,0.124366837,0.047654096,nan,nan,nan,nan,nan,nan,20.04545406
distributed,0,3,3,0.150075572,0.957400002,2.988269795,0.261448633,0.01297111,0.004036872,0.134812355,0.055620174,nan,nan,nan,nan,nan,nan,19.9367621
distributed,0,3,5,0.142035092,0.956300001,4.984313725,0.403351031,0.013312679,0.003087509,0.127048984,0.048561949,nan,nan,nan,nan,nan,nan,19.86949449
distributed,0,3,7,0.175417123,0.947500007,6.9808,0.879670158,0.013144154,0.002502604,0.131827137,0.055687857,nan,nan,nan,nan,nan,nan,20.20288641
distributed,0,3,10,0.13175031,0.960500001,9.955102041,1.232882801,0.012952447,0.002298989,0.135040924,0.050799799,nan,nan,nan,nan,nan,nan,19.6945959
distributed,0,3,20,0.131442485,0.961600004,19.96207585,3.653846154,0.01347996,0.001818573,0.129949011,0.048911781,nan,nan,nan,nan,nan,nan,20.14111598
distributed,1,0,-1,0.238111284,0.929600003,1,0,0.012564541,0.006973492,0.138741801,0.055439681,16.2956429,4.031892156,3.035864148,0.945285618,1.393173383,0.653817858,19.97243718
distributed,1,0,1,0.221511132,0.936800001,1,0,0.012468763,0.006729175,0.131154989,0.052597702,nan,nan,nan,nan,nan,nan,20.10732534
distributed,1,0,2,0.15923133,0.954100002,1.992125984,0.124019593,0.013130278,0.004377217,0.129654817,0.050707809,nan,nan,nan,nan,nan,nan,19.92048209
distributed,1,0,3,0.124330171,0.965400004,2.988472622,0.259243605,0.012899522,0.003815135,0.131114163,0.053613814,nan,nan,nan,nan,nan,nan,19.80863855
distributed,1,0,5,0.119035044,0.966400003,4.983739837,0.56,0.012570528,0.003228448,0.137008737,0.057547791,nan,nan,nan,nan,nan,nan,19.95222543
distributed,1,0,7,0.098544849,0.969300005,6.980360065,0.889274559,0.012644709,0.002908142,0.139457997,0.053037095,nan,nan,nan,nan,nan,nan,20.21272184
distributed,1,0,10,0.095740921,0.970300005,9.97606383,1.43151998,0.013166219,0.002464507,0.132610763,0.053779988,nan,nan,nan,nan,nan,nan,20.05578315
distributed,1,0,20,0.07410369,0.976400008,19.96130346,3.688047133,0.012765027,0.001686408,0.149761864,0.065276761,nan,nan,nan,nan,nan,nan,20.18834192
distributed,1,1,-1,0.208659706,0.943700003,1,0,0.013111095,0.00643168,0.125289603,0.053882964,14.67082141,4.692018076,3.955193764,1.623312361,1.276573395,0.621668883,20.06810113
distributed,1,1,1,0.204170341,0.941600003,1,0,0.012691296,0.006303152,0.127882867,0.057462852,nan,nan,nan,nan,nan,nan,20.10210534
distributed,1,1,2,0.16187867,0.954100003,1.987755102,0.153649668,0.013590027,0.004968244,0.133333221,0.054681912,nan,nan,nan,nan,nan,nan,19.84964951
distributed,1,1,3,0.144106776,0.961000004,2.982905983,0.313525346,0.012859737,0.004078429,0.132774589,0.048943639,nan,nan,nan,nan,nan,nan,20.33472849
distributed,1,1,5,0.139734157,0.961200006,4.971717172,0.588755198,0.01324339,0.003080987,0.133045388,0.06075873,nan,nan,nan,nan,nan,nan,20.06718335
distributed,1,1,7,0.166536112,0.952700003,6.96345515,0.915601685,0.013075498,0.002545373,0.138587004,0.050125853,nan,nan,nan,nan,nan,nan,20.04239579
distributed,1,1,10,0.134100638,0.958300005,9.944444444,1.563261649,0.012785275,0.002019067,0.134257367,0.051247125,nan,nan,nan,nan,nan,nan,20.15198116
distributed,1,1,20,0.150444733,0.963100006,19.8644906,3.879549948,0.0132914,0.002101924,0.121668605,0.056167168,nan,nan,nan,nan,nan,nan,19.93584895
distributed,1,2,-1,0.135945147,0.960000005,95.36997726,47.12702619,0.013673642,0.00201082,0.111699683,0.04105384,706492.6141,2982217.532,1.01E-07,2.10E-07,185769.2525,784161.5193,20.05975178
distributed,1,2,1,0.302872871,0.921000005,1,0,0.012849555,0.006766268,0.124339902,0.049171402,nan,nan,nan,nan,nan,nan,19.89247118
