Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.2264231987359622,0.9346000039577482,94.42383107088989,45.36937475091822,0.021357644990530607,0.003986111450655013,0.11893282287450946,0.03818327757355763,0.12264211042863134,0.367896331285894,5.914822544501849e-08,3.1723320879794086e-08,0.0,0.0,14.994016358143156,
distributed,0,0,1,0.6017546297113096,0.839899999499321,1.0,0.0,0.020761264144849464,0.008253209171187222,0.13412877161814327,0.053972321273529314,nan,nan,nan,nan,nan,nan,15.179223504773285,
distributed,0,0,2,0.4132862000415724,0.8862000012397763,1.9880952380952381,0.15157763207911912,0.020747126396291685,0.00618889746136447,0.13602783480501035,0.05625468757200582,nan,nan,nan,nan,nan,nan,15.034268472528861,
distributed,0,0,3,0.35223049594710254,0.9007000017166136,2.982608695652174,0.3161237950240501,0.019746535989684212,0.005941411518579604,0.13170003811694175,0.06357258222962792,nan,nan,nan,nan,nan,nan,14.87597443318486,
distributed,0,0,5,0.2938067119382321,0.9222000002861025,4.973509933774834,0.7067387838776337,0.02098736622983381,0.003393049071408362,0.1434908250918837,0.052677932777080785,nan,nan,nan,nan,nan,nan,15.195252060417713,
distributed,0,0,7,0.2503863590024412,0.9344000035524366,6.970074812967581,1.085804568003184,0.020058326276020135,0.0030388521958600377,0.11896167362619481,0.050618632022357474,nan,nan,nan,nan,nan,nan,15.044340366059464,
Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.23077215226988007,0.9379000061750412,16.312629399585923,5.888487557453588,0.02109265643178528,0.0025014387691443883,0.1433550152585197,0.05406965346844768,48.64421915079248,15.071064610558997,2.006101663562241,0.36301419417897446,0.6242492734139388,0.43792536964777645,15.07994025980819,
distributed,0,0,1,0.5820797353982929,0.8556000000238418,1.0,0.0,0.021421374190428707,0.008257321267320494,0.13726173507491693,0.05930107111710025,nan,nan,nan,nan,nan,nan,15.074895380207836,
distributed,0,0,2,0.41977560872832925,0.8936000001430513,1.9876543209876543,0.1542574468374819,0.020578675550263548,0.006407936736807659,0.1445062712853369,0.04783408034436552,nan,nan,nan,nan,nan,nan,15.177797908757109,
distributed,0,0,3,0.339341228293876,0.9116000014543534,2.981900452488688,0.3222145592958553,0.02127582830859331,0.004957647417796754,0.13880588275882277,0.05127512818402501,nan,nan,nan,nan,nan,nan,15.107644877841505,
distributed,0,0,5,0.2948912694553537,0.9192000001668935,4.965397923875432,0.5732723567894157,0.02028392889820179,0.003360256910008551,0.156029480272586,0.05906178468442669,nan,nan,nan,nan,nan,nan,15.052573278087698,
distributed,0,0,7,0.2577806492398179,0.9283000040054324,6.968831168831169,0.8031745051446079,0.020798936846912874,0.002889521061881118,0.12575877072263572,0.05294223472825356,nan,nan,nan,nan,nan,nan,15.037752225731921,
distributed,0,0,10,0.23949049842854342,0.9343000024557114,9.959276018099548,1.8353800799309072,0.020670732665071804,0.002428258855808701,0.1315792059413395,0.05569460827115535,nan,nan,nan,nan,nan,nan,15.195098192248846,
distributed,0,0,20,0.21964330789322653,0.9384000051021578,19.897959183673468,3.5317438023891663,0.021020523222950827,0.0025854976585003827,0.1296421458092522,0.05804323517837406,nan,nan,nan,nan,nan,nan,15.119134212755693,
distributed,0,0,30,0.20501762362817935,0.9446000039577486,29.808362369337978,8.225010252321491,0.020527116784137676,0.0019473648810068409,0.1473231101272257,0.05969077849773295,nan,nan,nan,nan,nan,nan,14.848009845482713,
