Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.214387149,0.940100003,1.218181818,0.327803641,0.012615089,0.007181348,0.140682775,0.050563703,14.16335412,5.478037888,1.083329154,0.252271715,0.648437195,0.42594531,15.17201777
distributed,0,0,1,0.177091195,0.950300002,1,0,0.012388738,0.0067148,0.123860362,0.051260869,nan,nan,nan,nan,nan,nan,14.98740102
distributed,0,0,2,0.120510168,0.965900003,1.989361702,0.143559807,0.012824002,0.004470929,0.130769942,0.051214499,nan,nan,nan,nan,nan,nan,14.84987258
distributed,0,0,3,0.100933129,0.971300005,2.984435798,0.299733444,0.013206673,0.004231465,0.134340606,0.050991703,nan,nan,nan,nan,nan,nan,15.05509634
distributed,0,0,5,0.079423545,0.976300007,4.979057592,0.63224759,0.012847218,0.003350556,0.128262506,0.054719216,nan,nan,nan,nan,nan,nan,14.92367988
distributed,0,0,7,0.075865311,0.976600003,6.973741794,1.021052619,0.0132518,0.002608742,0.136463768,0.05961704,nan,nan,nan,nan,nan,nan,15.14404985
distributed,0,0,10,0.06220057,0.982300009,9.96797153,1.642190469,0.013120313,0.002614818,0.134927434,0.061269617,nan,nan,nan,nan,nan,nan,15.30166702
distributed,0,0,20,0.049848926,0.985500008,19.95140665,4.092767231,0.013147744,0.002773791,0.118747674,0.047646606,nan,nan,nan,nan,nan,nan,15.17755305
Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,1.643799374,0.545199995,1,0,0.012815381,0.004515778,0.112418596,0.032733041,18.29714265,10.93214839,1.30672892,0.365194784,0.745174482,0.509577774,1.252339779
Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.258309956,0.927400002,1,0,0.012014584,0.006263133,0.132127845,0.053829524,16.67725058,5.898592485,2.949726342,0.870847864,1.438321511,0.713514864,19.89165515
distributed,0,0,1,0.248406249,0.932200003,1,0,0.012960645,0.006447396,0.131252766,0.052734577,nan,nan,nan,nan,nan,nan,20.04566408
distributed,0,0,2,0.152796312,0.955400004,1.991935484,0.125475097,0.012813128,0.004823424,0.135933197,0.048989986,nan,nan,nan,nan,nan,nan,20.17296303
distributed,0,0,3,0.145158196,0.958400006,2.988372093,0.260339118,0.012606342,0.004096325,0.134535308,0.050703842,nan,nan,nan,nan,nan,nan,19.97437277
distributed,0,0,5,0.116000582,0.965600005,4.983903421,0.55727712,0.013497365,0.003084134,0.129893338,0.044044001,nan,nan,nan,nan,nan,nan,19.88819169
distributed,0,0,7,0.104866966,0.968700003,6.981012658,0.874983122,0.012943037,0.002624614,0.129321702,0.052019807,nan,nan,nan,nan,nan,nan,20.01151123
distributed,0,0,10,0.102656819,0.966600004,9.97606383,1.43151998,0.012954744,0.00232552,0.132596551,0.048753637,nan,nan,nan,nan,nan,nan,19.96055146
distributed,0,0,20,0.07841853,0.974100007,19.962818,3.620577242,0.012658304,0.001810123,0.127013666,0.055754399,nan,nan,nan,nan,nan,nan,19.90902602
distributed,0,1,-1,0.242241766,0.934100003,1,0,0.01353328,0.007548716,0.131827816,0.053410668,14.28176916,3.931953093,4.123619556,1.450035412,1.231375571,0.557617864,20.05983128
distributed,0,2,-1,0.102528702,0.970000005,97.94135338,48.54458146,0.012756622,0.003896768,0.118291051,0.058253787,461238.3216,1946960.211,1.03E-07,2.05E-07,26651.39706,112499.7799,20.24691371
distributed,0,2,1,0.40101067,0.884700001,1,0,0.013330342,0.006860509,0.121587075,0.051425567,nan,nan,nan,nan,nan,nan,20.23761266
distributed,0,2,2,0.37801577,0.891799998,1.991935484,0.125475097,0.01335563,0.004367448,0.133630858,0.051085173,nan,nan,nan,nan,nan,nan,20.00434161
distributed,0,2,3,0.22512958,0.932900003,2.988372093,0.260339118,0.014325985,0.004592897,0.129949602,0.052311557,nan,nan,nan,nan,nan,nan,19.96320502
distributed,0,2,5,0.169209583,0.948400003,4.98467433,0.544234155,0.012720993,0.002769102,0.127536584,0.055392135,nan,nan,nan,nan,nan,nan,20.16449847
distributed,0,2,7,0.124397456,0.966200007,6.974151858,0.81414956,0.013134691,0.002678581,0.133118227,0.052059392,nan,nan,nan,nan,nan,nan,20.04601251
distributed,0,2,10,0.133183324,0.963500005,9.97606383,1.43151998,0.012870863,0.002691128,0.131918811,0.043712769,nan,nan,nan,nan,nan,nan,19.99989746
distributed,0,2,20,0.089651939,0.974900006,19.96207585,3.653846154,0.013199258,0.001688179,0.131229259,0.053850261,nan,nan,nan,nan,nan,nan,19.94493414
distributed,0,3,-1,0.191619388,0.9451,1,0,0.011867821,0.006609048,0.125655377,0.047841553,15.69090377,4.96124559,3.436748381,1.362491434,1.275075882,0.807332011,19.80334043
distributed,0,3,1,0.209291837,0.942000002,1,0,0.013987062,0.006989024,0.13410757,0.057182154,nan,nan,nan,nan,nan,nan,19.99277526
distributed,0,3,2,0.143671616,0.958200002,1.991869919,0.125971769,0.013789257,0.004759025,0.133688745,0.051207674,nan,nan,nan,nan,nan,nan,19.98741815
distributed,0,3,3,0.137124029,0.962600001,2.988571429,0.2581618,0.013268731,0.003979013,0.129943853,0.058979565,nan,nan,nan,nan,nan,nan,19.98374553
distributed,0,3,5,0.143193835,0.955200002,4.984220907,0.551948365,0.012910828,0.003056702,0.128807834,0.05395862,nan,nan,nan,nan,nan,nan,19.85581212
distributed,0,3,7,0.165835469,0.949200004,6.979661017,0.9042894,0.013507754,0.002672367,0.138560066,0.049889559,nan,nan,nan,nan,nan,nan,19.91587725
distributed,0,3,10,0.13175031,0.960500001,9.959349593,1.083697375,0.012918615,0.001951889,0.136497103,0.055686655,nan,nan,nan,nan,nan,nan,19.79560253
