Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.222974121,0.873,35.39952438,16.24139378,0.012464794,0.002492415,0.128745387,0.053744074,7.87220315,4.322652495,0.508973102,0.111026142,0.176900338,0.126841402,15.13659857
distributed,0,0,1,0.245512047,0.8474,1,0,0.01318896,0.007230179,0.126291507,0.053436571,nan,nan,nan,nan,nan,nan,15.06389043
distributed,0,0,2,0.233408345,0.8565,1.989795918,0.140690791,0.013376562,0.004923257,0.125688913,0.056193011,nan,nan,nan,nan,nan,nan,15.06714638
distributed,0,0,3,0.230320938,0.861,2.983870968,0.304910678,0.012667072,0.004028352,0.143082841,0.059419038,nan,nan,nan,nan,nan,nan,15.12887057
distributed,0,0,5,0.22627501,0.8666,4.979591837,0.6244998,0.012928403,0.002997853,0.124491865,0.051402155,nan,nan,nan,nan,nan,nan,15.03284579
distributed,0,0,7,0.225132303,0.8685,6.975257732,0.992732968,0.013611873,0.002995562,0.122407241,0.056478479,nan,nan,nan,nan,nan,nan,15.21731999
distributed,0,0,10,0.224247601,0.8708,9.947183099,1.228380216,0.013128832,0.002037074,0.130986284,0.052667981,nan,nan,nan,nan,nan,nan,15.06199758
distributed,0,0,20,0.223261091,0.8722,19.84266667,3.43034377,0.013161943,0.001492037,0.127749368,0.050756879,nan,nan,nan,nan,nan,nan,14.87332228
distributed,0,0,30,0.222944572,0.8734,29.93348624,7.124432905,0.01302645,0.001643294,0.116126348,0.060254415,nan,nan,nan,nan,nan,nan,15.11366986
distributed,0,1,-1,0.228841558,0.8637,8.066098081,2.611912035,0.013434909,0.002512097,0.130543768,0.045711799,15.20396746,3.42296669,1.371047904,0.289346554,0.904961999,0.268819527,14.8636449
distributed,0,1,1,0.248049955,0.847,1,0,0.013090894,0.006823152,0.140144327,0.05271082,nan,nan,nan,nan,nan,nan,15.01705162
distributed,0,1,2,0.233733948,0.8558,1.98989899,0.14,0.01374304,0.005039434,0.125322043,0.052624456,nan,nan,nan,nan,nan,nan,15.25029568
distributed,0,1,3,0.229824822,0.8622,2.985765125,0.287119615,0.012943914,0.003869636,0.121887744,0.049051827,nan,nan,nan,nan,nan,nan,15.20697151
distributed,0,1,5,0.228488977,0.8666,4.978201635,0.644429119,0.013322738,0.003041494,0.132077939,0.055903881,nan,nan,nan,nan,nan,nan,14.80733044
distributed,0,1,7,0.227832874,0.8645,6.974137931,1.013746349,0.013343648,0.002573469,0.130485083,0.04600945,nan,nan,nan,nan,nan,nan,15.01256792
distributed,0,1,10,0.227714986,0.8665,9.956822107,1.185714063,0.013231842,0.001850734,0.129045744,0.061779558,nan,nan,nan,nan,nan,nan,15.24485299
distributed,0,1,20,0.229266197,0.8673,19.94878706,4.190876412,0.01354876,0.001829246,0.127761847,0.047600445,nan,nan,nan,nan,nan,nan,14.88639719
distributed,0,1,30,0.231628925,0.8648,29.69806763,5.721021171,0.01381702,0.002085301,0.132279978,0.055157898,nan,nan,nan,nan,nan,nan,15.02168715
distributed,0,1,50,0.236644269,0.8598,49.56458333,13.26701193,0.012820476,0.001161602,0.131937555,0.049885624,nan,nan,nan,nan,nan,nan,14.9656028
distributed,0,1,70,0.239736578,0.8591,69.25979381,17.23433266,0.013725921,0.002200191,0.154103531,0.052368056,nan,nan,nan,nan,nan,nan,15.09590367
distributed,0,1,100,0.243360233,0.8546,97.59942363,30.67877931,0.013598665,0.000775435,0.106054358,0.051907624,nan,nan,nan,nan,nan,nan,15.2262784
distributed,0,2,-1,0.224122301,0.8708,96.8378926,43.09085087,0.011583713,0.003054708,0.168855748,0.047588154,1.00E-05,0,5.83E-17,2.39E-17,0,0,15.04415902
distributed,0,2,1,0.24648111,0.8441,1,0,0.012780129,0.007148482,0.126650487,0.050795665,nan,nan,nan,nan,nan,nan,15.05850652
distributed,0,2,2,0.235418245,0.8535,1.989247312,0.144304893,0.013300037,0.004764445,0.132677758,0.053035481,nan,nan,nan,nan,nan,nan,14.93502865
distributed,0,2,3,0.230967913,0.8588,2.984435798,0.299733444,0.013255003,0.003582756,0.13187596,0.053082409,nan,nan,nan,nan,nan,nan,14.84944827
distributed,0,2,5,0.22671918,0.8654,4.978779841,0.636231102,0.013197128,0.002551323,0.133569289,0.058389043,nan,nan,nan,nan,nan,nan,15.28362469
distributed,0,2,7,0.226059264,0.869,6.972911964,1.036151276,0.013437492,0.003383579,0.137749717,0.051722683,nan,nan,nan,nan,nan,nan,14.84284256
distributed,0,2,10,0.224621506,0.8709,9.956369983,1.54097534,0.013195483,0.002199425,0.125239994,0.054785432,nan,nan,nan,nan,nan,nan,14.90035423
distributed,0,2,20,0.223830571,0.874,19.84266667,3.43034377,0.012733731,0.001467605,0.139772948,0.056808722,nan,nan,nan,nan,nan,nan,15.06249111
distributed,0,2,30,0.223265325,0.873,29.74352941,6.321040702,0.013191474,0.002552852,0.137579893,0.051154485,nan,nan,nan,nan,nan,nan,14.93963523
distributed,0,2,50,0.22348439,0.8727,49.89135255,14.7,0.012057655,0.003064267,0.157585589,0.050346705,nan,nan,nan,nan,nan,nan,14.836537
distributed,0,2,70,0.223214749,0.8728,69.60040568,22.16944688,0.013106857,0.001977859,0.117812342,0.042180025,nan,nan,nan,nan,nan,nan,14.88607876
distributed,0,2,100,0.222914649,0.8735,97.98638132,32.48674944,0.013705595,0.0016049,0.122890331,0.049819406,nan,nan,nan,nan,nan,nan,15.05155415
